"NAME","SERVICE_CATEGORY_NAME"
"GENERAL BANKING SERVICES","FINANCIAL SERVICES"
"MONETARY INTERMEDIATION SERVICES","FINANCIAL SERVICES"
"CREDIT GRANTING SERVICES","FINANCIAL SERVICES"
"SECURITY BROKING AND FUND MANAGEMENT SERVICES","FINANCIAL SERVICES"
"FINANCIAL MANAGEMENT CONSULTANCY SERVICES","FINANCIAL SERVICES"
"ACCOUNTING SERVICES","FINANCIAL SERVICES"
"AUDITING SERVICES","FINANCIAL SERVICES"
"OTHERS","FINANCIAL SERVICES"

"LIFE INSURANCE SERVICES","INSURANCE SERVICES"
"PENSION FUNDING SERVICES","INSURANCE SERVICE"
"NON-LIFE INSURANCE SERVICES","INSURANCE SERVICES"
"INSURANCE BROKING SERVICES","INSURANCE SERVICES"
"OTHERS","INSURANCE SERVICES"

"PROJECT DEVELOPMENT AND IMPLEMENTATION","LEGAL SERVICES"
"PROJECT MANAGEMMENT/CONSULTANCY","LEGAL SERVICES"
"LOCAL COMMERCIAL TRANSACTIONS","LEGAL SERVICES"
"INTERNATIONAL COMMERCIAL TRANSACTIONS","LEGAL SERVICES"
"FINANCE & CORPORATE TRANSACTIONS","LEGAL SERVICES"
"SHARES ACQUISITION AND DIVESTMENT","LEGAL SERVICES"
"PROPERTY ACQUISITIONS, SALES, LEASES OF REAL ESTATE","LEGAL SERVICES"
"CLAIMS","LEGAL SERVICES"
"OIL AND GAS ASSETS ACQUISITIONS, LEASES AND SALES","LEGAL SERVICES"
"TRADE DISPUTE","LEGAL SERVICES"
"INTELLECTUAL PROPERTY RIGHT","LEGAL SERVICES"
"ALTERNATIVE DISPUTE RESOLUTION","LEGAL SERVICES"
"HOST COMMUNITIES MATTERS","LEGAL SERVICES"
"LITIGATIONS","LEGAL SERVICES"
"OTHER LEGAL ADVISORY SERVICES","LEGAL SERVICES"
